CustomerID,Product,PurchaseDate,Quantity,UnitPrice,CustomerName,ProductCategory,PaymentMethod,ReviewRating,TotalPrice,Year,Month,Day,Weekday,Quarter,IsWeekend,MonthName,YearMonth,CustomerLifetimeValue,PurchaseFrequency,DaysSinceLastPurchase,AverageOrderValue,RevenuePerCategory,RevenuePerCustomer
C5361,Phone,2024-03-05,8,618.83,Customer C5361,Office Supplies,Cash,1,4950.64,2024,3,5,1,1,0,Mar,2024-03,4950.64,1,482,4950.64,1133462.57,4950.64
C6231,Laptop,2025-06-21,7,366.22,Customer C6231,Electronics,Debit Card,3,2563.54,2025,6,21,5,2,1,Jun,2025-06,2563.54,1,9,2563.54,1049911.98,2563.54
C7704,Chair,2023-06-25,5,634.51,Customer C7704,Office Supplies,Credit Card,4,3172.55,2023,6,25,6,2,1,Jun,2023-06,3172.55,1,736,3172.55,1133462.57,3172.55
C2923,Printer,2023-09-30,3,508.63,Customer C2923,Office Supplies,Gift Card,1,1525.89,2023,9,30,5,3,1,Sep,2023-09,1525.89,1,639,1525.89,1133462.57,1525.89
C4847,Monitor,2023-04-03,4,452.06,Customer C4847,Electronics,Credit Card,2,1808.24,2023,4,3,0,2,0,Apr,2023-04,1808.24,1,819,1808.24,1049911.98,1808.24
C7317,Chair,2023-04-11,3,209.79,Customer C7317,Office Supplies,Gift Card,1,629.37,2023,4,11,1,2,0,Apr,2023-04,629.37,1,811,629.37,1133462.57,629.37
C5076,Desk,2024-06-19,3,88.74,Customer C5076,Office Supplies,Debit Card,3,266.22,2024,6,19,2,2,0,Jun,2024-06,266.22,1,376,266.22,1133462.57,266.22
C5181,Chair,2023-08-16,8,273.92,Customer C5181,Furniture,Credit Card,2,2191.36,2023,8,16,2,3,0,Aug,2023-08,2191.36,1,684,2191.36,1083282.25,2191.36
C9564,Monitor,2023-02-11,6,718.79,Customer C9564,Electronics,Gift Card,3,4312.74,2023,2,11,5,1,1,Feb,2023-02,4543.83,2,182,2271.915,1049911.98,4543.83
C7521,Tablet,2025-06-14,7,100.37,Customer C7521,Office Supplies,Debit Card,4,702.59,2025,6,14,5,2,1,Jun,2025-06,2512.79,2,16,1256.395,1133462.57,2512.79
C7713,Desk,2023-09-24,2,453.05,Customer C7713,Electronics,Credit Card,4,906.1,2023,9,24,6,3,1,Sep,2023-09,906.1,1,645,906.1,1049911.98,906.1
C3269,Desk,2025-04-25,7,528.22,Customer C3269,Furniture,Debit Card,4,3697.54,2025,4,25,4,2,0,Apr,2025-04,12172.8,3,66,4057.6,1083282.25,12172.8
C7058,Laptop,2024-09-28,1,539.67,Customer C7058,Furniture,Cash,3,539.67,2024,9,28,5,3,1,Sep,2024-09,2157.99,2,41,1078.995,1083282.25,2157.99
C8718,Phone,2025-01-26,2,797.46,Customer C8718,Electronics,Credit Card,3,1594.92,2025,1,26,6,1,1,Jan,2025-01,1594.92,1,155,1594.92,1049911.98,1594.92
C2966,Phone,2023-11-16,8,283.94,Customer C2966,Electronics,Cash,1,2271.52,2023,11,16,3,4,0,Nov,2023-11,2271.52,1,592,2271.52,1049911.98,2271.52
C7436,Laptop,2024-11-20,8,569.56,Customer C7436,Electronics,Debit Card,5,4556.48,2024,11,20,2,4,0,Nov,2024-11,4556.48,1,222,4556.48,1049911.98,4556.48
